FloraStatus,Group,Family,taxon,Acronym,ClChange Justification,Origin,ExoticStatus
Genus Note,Dicotyledons,Fabaceae,Lathyrus nissolia,LATNIS,,exotic,historic waif
Genus Note,Dicotyledons,Fabaceae,Lathyrus odoratus,LATODO,fully treated in flora. Noted as locally escaped from cultivation.,exotic,recent waif
Not Noted,Dicotyledons,Fabaceae,Lathyrus sativus,LATSAT,,exotic,historic waif
Not Noted,Dicotyledons,Fabaceae,Lathyrus vernus,LATVER,"our only specimen was collected in the Salem area in 1986; probably not naturalized; labels says ""weed in a flower bed""",exotic,historic waif
Genus Note,Dicotyledons,Fabaceae,Astragalus drummondii,ASTDRU,,exotic,historic waif
Genus Note,Dicotyledons,Fabaceae,Lotus subbiflorus var. subbiflorus,LOTSUBSUB,"known from a single OR collection by Wendell Wood, s.n., 6/30/2009, Curry Co.; det. K. Chambers; introduced from Europe; found at Boardman State Park.",exotic,recent waif
Genus Note,Dicotyledons,Fabaceae,Medicago falcata,MEDFAL,"known from a single recent collection at OSU (Brainerd #162, Lane Co., 6/6/2001, OSC).",exotic,recent waif
Genus Note,Dicotyledons,Fabaceae,Medicago turbinata,MEDTUR,"all three known specimens are at WS, collected by Suksdorf in Albina or Linnton; assumed to be ballast collections.",exotic,ballast
Not Noted,Dicotyledons,Fabaceae,Ononis spinosa ssp. maritima,ONOSPIMAR,FNA contributor has annotated O. repens to O. spinosa ssp. maritima (Dumort.) P. Fournier; the contributor notes considers repens a synonym.,exotic,ballast
Family Note,Dicotyledons,Fabaceae,Anthyllis vulneraria,ANTVUL,"A. Liston had e-mail correspondence with the FNA contributor regarding a single OR occurrence (GH, Nelson #609, ballast, Linnton, 17 June 1916).",exotic,ballast
Family Note,Dicotyledons,Fabaceae,Cicer arietinum,CICARI,"There is a non-cultivated, probably waif specimen collected by Suksdorf, WS145293",exotic,historic waif
Not Noted,Dicotyledons,Fabaceae,Amorpha californica,AMOCAL,"newly accessioned specimen from Jackson Co., OSC215509, Callahan s.n. 2005. This species is known from northernmost California, and this is a plausible range extension.",exotic?,recent waif
Genus Note,Dicotyledons,Fagaceae,Quercus rubra,QUERUB,one specimen exists at OSC; P. Zika collection; common as seedlings and saplings in a hedgerow ca. 150 m from cultivated Q. rubra; Reed College campus; place this on a watch list.,exotic,recent waif
Genus Note,Dicotyledons,Fagaceae,Quercus × morehus,QUEMOR,,native,
Not Noted,Dicotyledons,Fagaceae,Quercus palustris,QUEPAL,"native to the eastern U.S., Brainerd has a collection from a reproducing population in Corvallis.",exotic,recent waif
Genus Note,Dicotyledons,Fagaceae,Quercus robur,QUEROB,"a recent collection at OSC (Brainerd #981, Benton Co., 2 Oct. 2007) noted as clearly reproducing and naturalized in Corvallis.",exotic,escaping in natural areas
Not Noted,Dicotyledons,Frankeniaceae,Frankenia pulverulenta,FRAPUL,,exotic,historic waif
Not Noted,Gymnosperms,Cupressaceae,Hesperocyparis macrocarpa,HESMAC2,"an Oregon collection is noted as -obviously not planted- (Zika #24210, 18 October 2008, Curry Co.); adventive 6 m tall tree;",exotic,recent waif
Not Noted,Gymnosperms,Cupressaceae,Juniperus chinensis,JUNCHI,"known from a single collection - Brainerd #2474, Linn Co., 2016; RRH has confirmed ID; collected in a pine plantation, has a long cultivation history, and RRH thinks dubiously self generated.",exotic,recent waif
,Gymnosperms,Cupressaceae,Hesperocyparis sargentii,HESSAR,"recognized name in JPM2-138 for a new concept to our checklist; known from a single OR collection at OSU (Callahan OR-CS-1, OR-CS-2, Josephine Co., 5 October 2010) where noted - four small trees; post-fire recovery (Biscuit Fire).",exotic,recent waif
,Gymnosperms,Cupressaceae,Taxodium distichum var. distichum,TAXDISDIS,based on a 2012 collection by D. Thomas on Sauvie's Island where a small grove exist in what he thinks was not planted.,exotic,recent waif
,Gymnosperms,Pinaceae,Pinus pinaster,PINPIN,W. Wood has discovered a population stemming from plantings at Harris Beach State Park; 125 trees found mostly east of Hwy. 101 along half mi. length of Harris Beach State Park; ranging from 4 inch dbh up to ca. 2 ft. dbh; addition supported by A. Liston.,exotic,escaping in natural areas
,Gymnosperms,Pinaceae,Pinus muricata,PINMUR,"known from a single collection (Callahan # PM-3) Curry Co., June 1965; coastal; OSC229695",native?,
,Gymnosperms,Pinaceae,Pinus monophylla,PINMON2,"known from a single Oregon collection at SOC (#16444, M.K. Small #666, Lake Co., 20 October 1948).",exotic,historic waif
,Monocotyledons,Alismataceae,Sagittaria graminea ssp. graminea,SAGGRAGRA,collected by Eastman 1994; two patches by creek; 12 Sept. 1994.,exotic,recent waif
,Monocotyledons,Alismataceae,Sagittaria platyphylla,SAGPLA,SCM has noted this is a recent waif to the Portland area.,exotic,recent waif
Appendix,Monocotyledons,Amaryllidaceae,Amaryllis belladonna,AMABEL,a 2013 collection by W. Wood has been confirmed at OSC.,exotic,recent waif
,Monocotyledons,Amaryllidaceae,Narcissus × incomparabilis,NARINC,,exotic,recent waif
,Monocotyledons,Amaryllidaceae,Allium dictuon,ALLDIC,"our only voucher (Karl Urban,  98-0001, Wallowa Co. ) has been re-determined as Allium sp. because bulbs are lacking, as determined by Dale McNeal (OFP contributor); he says this is however, the right place to find the species; look for it!",native,
,Monocotyledons,Amaryllidaceae,Allium membranaceum,ALLMEM,"Oregon specimen exists in the herbarium; also this is an accepted name in JPM2, but not stated to occur in Oregon.",exotic,recent waif
,Monocotyledons,Amaryllidaceae,Narcissus tazetta,NARTAZ,,exotic,escaping in natural areas
Not Noted,Monocotyledons,Amaryllidaceae,Leucojum aestivum,LEUAES,"see Halse #8466, Benton Co., 24 April 2012.",exotic,recent waif
Family Note,Monocotyledons,Araceae,Dracunculus vulgaris,DRAVUL,,exotic,recent waif
Family Note,Monocotyledons,Araceae,Pistia stratiotes,PISSTR,"known from a single collection from Portland (Maze, s.n., 1 November 2013) where possibly released for aquaculture.",exotic,recent waif
,Monocotyledons,Asparagaceae,Dichelostemma volubile,DICVOL,"one specimen known, a Jackson Co. collection by Frank Callahan (appears to be on his property? see map on specimen (OSC217825). otherwise known north to Tehama Co., CA.",exotic?,recent waif
,Monocotyledons,Asparagaceae,Brodiaea nana,BRONAN,"kown from a single Oregon collection (OSC#237865, Callahan # BN-LTR-1, 3 Jun 2011, Jackson Co.).",native?,
,Monocotyledons,Asparagaceae,Brodiaea minor,BROMIN,"voucher: F. Callahan, s.n., 6/13/2007, Jackson Co, F. Callahan's property; otherwise endemic to California north to Shasta Co.",exotic?,recent waif
,Monocotyledons,Asparagaceae,Triteleia peduncularis,TRIPED,"voucher: F. Callahan, s.n., 6/11/2007, Jackson Co; near source of Wells Creek gully, T34S R03W 14 (see topo on specimen); otherwise this is a CA endemic, n. to Humboldt Co.",native,
,Monocotyledons,Asparagaceae,Dichelostemma × venustum,DICVEN,,native,
,Monocotyledons,Asparagaceae,Muilla transmontana,MUITRA,"known from a single collection from Jackson Co., det. Callahan 2017.",exotic?,recent waif
,Monocotyledons,Asparagaceae,Ornithogalum nutans,ORNNUT,,exotic,escaping in cultivated area
,Monocotyledons,Asparagaceae,Hyacinthoides × variabilis,HYAVAR,the only record is a specimen which is probably from cultivated or persisting material.,exotic,escaping in cultivated area
,Monocotyledons,Butomaceae,Butomus umbellatus,BUTUMB,"reported by ODA to have been found (and probably eradicated) in the Boardman vicinity, near/along the Columbia River. It has great potential to become noxious in OR; currently noxious in WA, MT - multiple sites.",exotic,eradicated
,Monocotyledons,Commelinaceae,Tradescantia fluminensis,TRAFLU,"waif collection by Wendell Wood, 16 Apr 2015; Curry Co.; 12 by 7 ft. patch at base of hillside.",exotic,recent waif
Not Noted,Monocotyledons,Commelinaceae,Murdannia keisak,MURKEI,,exotic,historic waif
,Monocotyledons,Cyperaceae,Carex comans,CARCOM2,"known from a single collection in Benton Co. (Brainerd #1521, 15 August 2010); pavement crack in a street gutter; live specimen collected and grown out to flowering in pot).",exotic,recent waif
,Monocotyledons,Cyperaceae,Schoenoplectus × kuekenthalianus,SCHKUE,"this is a hybrid between S. tabernaemontani and S. triqueter; collected several times by P. Zika in recent years; well established in Oregon on lower Columbia River, and should be included in the flora (P. Zika).",exotic,recent waif
Not Noted,Monocotyledons,Cyperaceae,Carex mesochorea,CARMES,"new collection by Nick Otting (#7795) in Tillamook Co., 12/22/2018; small roadside population. Native to eastern U.S. Also known in CA.",exotic,recent waif
,Monocotyledons,Cyperaceae,Cyperus odoratus,CYPODO,,exotic,ballast
,Monocotyledons,Cyperaceae,Schoenoplectus saximontanus,SCHSAX,"accepted name in JPM2, and occurrence in Oregon is uncertain; not known in Oregon.",exotic,recent waif
,Monocotyledons,Cyperaceae,Carex agastachys,CARAGA,"although this and pendula are exotic to Oregon, newly agastachys occupies part of the former applied circumscription for pendula.",exotic,naturalized
,Monocotyledons,Cyperaceae,Carex pumila,CARPUM,,exotic,ballast
Appendix,Monocotyledons,Cyperaceae,Carex fissuricola,CARFIS,"Oregon specimen  in the herbarium; also this is an accepted name in JPM2, but not stated to occur in Oregon.",native,
,Monocotyledons,Cyperaceae,Cyperus fuscus,CYPFUS,"native to Eurasia; known from a single collection by Nick Otting #3723, Columbia Co.,16 Nov. 2013.",exotic,recent waif
,Monocotyledons,Cyperaceae,Cyperus aggregatus,CYPAGG,,exotic,ballast
,Monocotyledons,Hydrocharitaceae,Najas guadalupensis var. guadalupensis,NAJGUAGUA,,native,
,Monocotyledons,Hydrocharitaceae,Elodea bifoliata,ELOBIF,,native,
,Monocotyledons,Iridaceae,Iris tenuissima,IRITEN3,see Callahan It-1-C-2013; 2 May 2013; SOC#23987; Jackson Co.; See also a 1948 collection by Small in the same general area for I. tenuissima tenuissima.,exotic,recent waif
,Monocotyledons,Iridaceae,Romulea rosea var. australis,ROMROSAUS,"Curry County collection ""near Agness at Big Bend..."", thousands of individuals along roads, gravel edges. This taxon is introduced and naturalized in California, with specimens in Humboldt and Mendocino Counties (according to CALflora website).",exotic,escaping in natural areas
,Monocotyledons,Iridaceae,Gladiolus communis,GLACOM,"known from a single collection by W. Wood (s.n., Curry Co., 6/10/2011); 8 plants present at this site, nearby a hiking trail.",exotic,recent waif
Genus Note,Monocotyledons,Iridaceae,Iris × thompsonii,IRITHO,we are now recognizing this as an occasionally occurring named hybrid.,native,
,Monocotyledons,Juncaginaceae,Triglochin palustris,TRIPAL,Peck #9398 has been determined to be an immature collection of Triglochin maritima; the diagnostic feature for this immature specimen was the entire ligule (ligule is lobed in T. palustris).,exotic,recent waif
,Monocotyledons,Liliaceae,Tulipa sylvestris,TULSYL,known in OR from a single Benton Co. collection - Halse #8770 (9 April 2013); scattered around a weedy vacant lot where plants appear naturalized.,exotic,escaping in cultivated area
,Monocotyledons,Liliaceae,Lilium washingtonianum ssp. washingtonianum,LILWASWAS,Callahan collection on his property. 2013.,exotic?,recent waif
,Monocotyledons,Liliaceae,Erythronium multiscapideum,ERYMUL,"known from a single Oregon collection (OSC#237883, Callahan # EMHG-1, 28 Feb. 2010,  Jackson Co.).",native,
Genus Note,Monocotyledons,Liliaceae,Fritillaria camschatcensis,FRICAM,,exotic,historic waif
,Monocotyledons,Liliaceae,Calochortus persistens,CALPER,,native,
,Monocotyledons,Liliaceae,Calochortus amabilis,CALAMA,"voucher at OSU (F. Callahan from the Samuel Boardman State Park & Carpenter Ranch); he says also reported by Bob Mansfield on the ranch, which prompted him to check there where only basal leaves were found; photos from the SBSP;",native,
,Monocotyledons,Liliaceae,Fritillaria purdyi,FRIPUR,,exotic?,recent waif
,Monocotyledons,Liliaceae,Fritillaria eastwoodiae,FRIEAS,"Without question, this species exists in Oregon and should be recognized in the checklist; see OSC203720.",exotic?,recent waif
,Monocotyledons,Liliaceae,Prosartes parvifolia,PROPAR,"this was published in volume I as a synonym of P. hookeri, but merits distinction as a distinct concept; view volume 1 errata for description.",native,
,Monocotyledons,Liliaceae,Calochortus luteus,CALLUT,"see SOC #18564, Jackson Co. ( M. Knowles Small, 5 May 1939 s.n.); -plants abundant.-; det. F. Callahan 2013.",native,
Not Noted,Monocotyledons,Melanthiaceae,Veratrum fimbriatum,VERFIM,"waif collected by Callahan, who implies it is a major range extension for a native.",exotic,recent waif
,Monocotyledons,Melanthiaceae,Trillium cuneatum,TRICUN,"our only collection det. Brainerd 2015, from Corvallis, Benton Co.",exotic,escaping in natural areas
,Monocotyledons,Poaceae,Phleum arenarium,PHLARE,,exotic,ballast
,Monocotyledons,Poaceae,Echinochloa colona,ECHCOL,,exotic,ballast
,Monocotyledons,Poaceae,Echinochloa crus-pavonis var. crus-pavonis,ECHCRUCRU,,exotic,ballast
,Monocotyledons,Poaceae,Eleusine tristachya,ELETRI,,exotic,ballast
,Monocotyledons,Poaceae,Elymus ciliaris,ELYCIL,"Mary discovered that one specimen at US, annotated by A. Hitchcock, probably used for inclusion of Agropyron caninum in Man. Grasses (A. Hitchc. 1950), was actually E. ciliaris; the others were E. tsukushiensis; both are ballast species, not established.",exotic,ballast
,Monocotyledons,Poaceae,Elymus tsukushiensis,ELYTSU,"Mary discovered that specimens at US, annotated by A. Hitchcock, probably used for inclusion of Agropyron caninum in Man. Grasses (A. Hitchc. 1950), were actually mostly E. tsukushiensis.",exotic,ballast
,Monocotyledons,Poaceae,Eragrostis pectinacea var. miserrima,ERAPECMIS,"Barbara Wilson confirmed a BLM Medford collection (Roche s.n., 25 October 2002, Jackson Co.). Growing at the edge of pavement.",exotic,recent waif
,Monocotyledons,Poaceae,Eriocoma bloomeri,ERIBLO3,American native Achnatherum is being transferred to Eriocoma.,native,
,Monocotyledons,Poaceae,Cladoraphis cyperoides,CLACYP,"represents a new concept in Oregon; known only from ballast dump; Linnton (Portland), OR. has not persisted; native of S. Africa. voucher in WILLU collection.",exotic,ballast
Not Noted,Monocotyledons,Poaceae,Festuca lemanii,FESLEM,this exotic is naturalized in Oregon; BLW has recently annotated material previously determined as ovina or trachyphylla to this taxon (those two taxa are also still recognized for Oregon).,exotic,naturalized
,Monocotyledons,Poaceae,Chloris radiata,CHLRAD,,exotic,ballast
Not Noted,Monocotyledons,Poaceae,Calamagrostis utsutsuensis,CALUTS,"new taxon (BRIT 2019); type in Oregon: Otting#3449, Harney Co., Steens Mtn.",native,
,Monocotyledons,Poaceae,Bromus sitchensis var. sitchensis,BROSITSIT,http://www.phytoneuron.net/2016Phytoneuron/36PhytoN-Bromussitchensis.pdf,native,
,Monocotyledons,Poaceae,Bromus madritensis,BROMAD,,exotic,ballast
,Monocotyledons,Poaceae,Brachypodium pinnatum,BRAPIN,,exotic,historic waif
,Monocotyledons,Poaceae,Brachypodium distachyon,BRADIS,,exotic,ballast
,Monocotyledons,Poaceae,Tripidium ravennae,TRIRAV,population discovered by BLW in Umatilla Co.; voucher donated to OSC; recognition as Tripidium over Saccharum proposed by Rob Soreng.,exotic,recent waif
,Monocotyledons,Poaceae,Arthraxon hispidus,ARTHIS,"Rhodora 73:39-46 (Kiger, 1971) cites a US Suksdorf #5316 collection from ballast at Portland, Oregon. This treatment lumps all varieties, but FNA acknowledges that 4 vars exist, but only one is established in NA (hispidus), uncertain what var in OR.",exotic,ballast
,Monocotyledons,Poaceae,× Leydeum piperi,LEYPIP,"FNA says, ""it is not known how common or widespread it is"" and does not say it occurs in Oregon, however, the holotype is from Oregon.",native,
Not Noted,Monocotyledons,Poaceae,Leymus × multiflorus,LEYMUL2,"2 colls det. Brainerd (2018): Gentner, s.n., Jackson Co., 1947 (at OSC); Peck, #1170, Jackson Co., 1913 (WILLU). Jeps2 uses Elymus x gouldii as they subsume all Leymus under Elymus (see Smith & Columbus 2011)..",exotic?,historic waif
,Monocotyledons,Poaceae,Leymus racemosus,LEYRAC,this species has been used for erosion control outside of Oregon. Known from a recent (2018) collection by C. Roché) from Morrow Co. In process of accessioning.,exotic,escaping in natural areas
Genus Note,Monocotyledons,Poaceae,Lolium × hybridum,LOLHYB,"accepted name for the hybrid L. multiflorum × perenne, FN24:455; Richard noted that he could not tell the difference between the parents and the hybrid, but B. Wilson notes that most OR pls are hybridized by now;",exotic,naturalized
,Monocotyledons,Poaceae,Lolium rigidum,LOLRIG,since the final recognized variety for this species is recommended for exclusion (two other varieties have already been excluded) the species should also be excluded.,exotic,recent waif
,Monocotyledons,Poaceae,Urochloa mutica,UROMUT,"Hitchcock 1950 p682 under Panicum purpurascens (where P. barbinodes a syn.), states occurrence at Linnton; N. Otting and B. Wilson have determined Nelson #492 (WILLU#31448, on ballast at Linnton) as the only known voucher.",exotic,ballast
,Monocotyledons,Poaceae,Pennisetum villosum,PENVIL,"recent waif, see Brainerd #667, Lane Co., 2005.",exotic,recent waif
,Monocotyledons,Poaceae,Amelichloa caudata,AMECAU,"this is the new accepted name for Achnatherum caudatum and Stipa littoralis, according to FNA24:182.",exotic,ballast
,Monocotyledons,Poaceae,Phalaris caroliniana,PHACAR,,exotic,historic waif
,Monocotyledons,Poaceae,Phalaris minor,PHAMIN2,,exotic,historic waif
,Monocotyledons,Poaceae,Cynodon × magennisii,CYNMAG,nomenclature fide FNA; a sterile triploid cross between C. dactylon and C. transvaalensis; collected on bank of the Umpqua River where it is assumed vegetative material floated down river from a planting; this hybrid developed for lawns and golf courses.,exotic,recent waif
,Monocotyledons,Poaceae,Phleum paniculatum,PHLPAN,"confirmed at WS from two collections: Suksdorf #3042 &2980-0, ballast at Albina).",exotic,ballast
,Monocotyledons,Poaceae,Phleum subulatum,PHLSUB,"vouchers at WS, confirmed by Halse (Suskdorf #1913, #1933, Linnton, ballast, 12 July 1912).",exotic,ballast
Not Noted,Monocotyledons,Poaceae,Poa iconia var. iconia,POAICOICO,Soreng (2018) has studied and published occurrences of the var. iconia for Oregon; distinguished genetically from bulbosa var. vivipara (but similarly producing viviparous bulblets) and by several morphological characters.,exotic,naturalized
,Monocotyledons,Poaceae,Poa mansfieldii,POAMAN,"published 2019 BRIT;  Type at OSC: Harney co.: Steens Mountain; between Little Blitzen Gorge and the Steens Loop Road, 6 Aug 2014",native,
,Monocotyledons,Poaceae,Poa wallowensis,POAWAL,newly published by Soreng,native,
,Monocotyledons,Poaceae,Polypogon australis,POLAUS2,"OSC collection, confirmed by B. Wilson 2014 (Suksdorf, #10091, ditches in Bingen, 1918); also this is an accepted name in JPM2, but not stated to occur in Oregon.",exotic,ballast
,Monocotyledons,Poaceae,Polypogon fugax,POLFUG,"known only from the Portland area (Lower Albina and Linnton, a ballast plant, collections in 1902 and 1916); Richard says not established.",exotic,historic waif
Not Noted,Monocotyledons,Poaceae,Puccinellia simplex,PUCSIM,Peter Dunwiddie collected this in Morrow Co. It was confirmed by him and PFZika. Growing in a natural habitat but very rare - so call this a waif for now.,exotic,recent waif
,Monocotyledons,Poaceae,× Schedololium holmbergii,SCHHOL,"only known from a single collection at OSC (B. Wilson #11755, Marion Co. 2006); represents a cross between Schedonorus arundinaceus and Lolium perenne.",exotic,recent waif
,Monocotyledons,Poaceae,Secale strictum,SECSTR,"we have specimens of this species, although it is not known to be established in Oregon;",exotic,historic waif
,Monocotyledons,Poaceae,Agrostis × murbeckii,AGRMUR,this is a nothotaxon for currently recognized A. capillaris × stolonifera.,exotic,recent waif
,Monocotyledons,Poaceae,Setaria faberi,SETFAB,"collection by B. Wilson in Umatilla Co.; 20-30 plants about 1 m. diam.; shedding seed prolifically; a plains weed in irrigated fields; our site not irrigated; Noxious Weeds folks eradicated our population in 2016, but seed still on ground.",exotic,recent waif
Family Note,Monocotyledons,Poaceae,Setaria parviflora,SETPAR,,exotic,ballast
,Monocotyledons,Poaceae,Setaria viridis var. major,SETVIRMAJ,,exotic,historic waif
Not Noted,Monocotyledons,Poaceae,Spartina densiflora,SPADEN,"Accepted name and established in Oregon (Benton Co.) according to FN25:247. However, Synthesis cites INVADERS, and INVADERS cites 2 Steve Alderman collections from Corvallis. This is a data entry error - the collections were from N. California.",exotic,eradicated
Genus Note,Monocotyledons,Poaceae,Sporobolus indicus,SPOIND,"voucher at WS collected by Suksdorf on ballast at Albina, id by A.S. Hitchcock.",exotic,ballast
,Monocotyledons,Poaceae,Agropyron fragile,AGRFRA,based on a USFS Baker specimen determined by B. Wilson.,exotic,historic waif
,Monocotyledons,Poaceae,× Agropogon lutosus,AGRLUT,,exotic,recent waif
,Monocotyledons,Poaceae,Thinopyrum junceum,THIJUN,the only specimen was a mis-id.,exotic,ballast
,Monocotyledons,Poaceae,Thinopyrum pycnanthum,THIPYC,"Richard has concluded this species is not in Oregon; it appears difficult to distinguish from Thinopyrum junceum, which, he concludes is in Oregon.",exotic,ballast
,Monocotyledons,Poaceae,× Aegilotriticum sancti-andreae,AEGSAN,new nothogenus to checklist. This is a hybridization between Triticum aestivum and Aegilops cylindrica; the species are able to backcross with either parent so are not entirely sterile.,exotic,escaping in cultivated area
,Monocotyledons,Pontederiaceae,Eichhornia crassipes,EICCRA,,exotic,historic waif
,Monocotyledons,Xanthorrhoeaceae,Phormium tenax,PHOTEN,"judging by photos taken by F. Callahan (2010) at Nesika Beach, this exotic appears to be robust and naturalizing.",exotic,recent waif
,Monocotyledons,Xanthorrhoeaceae,Kniphofia uvaria,KNIUVA,collection in process of donation by D. Brainerd; population consists of 10-20 plants in railroad ballast having reproduced; cultivated plant(s) are nearby.,exotic,escaping in cultivated area
,Monocotyledons,Xanthorrhoeaceae,Hemerocallis minor,HEMMIN,,exotic,recent waif
,Monocotyledons,Xanthorrhoeaceae,Hemerocallis fulva,HEMFUL,"known from a single Oregon collection, waif, (Brainerd, # 1853, 8 July 2011, forming a patch 2 m. in diameter, Linn Co.).",exotic,recent waif
,Pteridophytes,Aspleniaceae,Asplenium bulbiferum,ASPBUL,"this specimen by M. Lancaster, collected in 1926 on the Bandon coast was noted to have ""gone wild""; however, it has not been collected since.",exotic,historic waif
Appendix,Pteridophytes,Aspleniaceae,Asplenium trichomanes ssp. quadrivalens,ASPTRIQUA,,native,
,Pteridophytes,Cyatheaceae,Sphaeropteris cooperi,SPHCOO,"report of this waif in NPSO bulletin 41(9):89,97; ID verified by Alan Smith (UCB) and K. Chambers; no fertile spores and just 3 known plants; coastal Curry Co. 11 mi. north of Brookings; widely cultivated.",exotic,recent waif
,Pteridophytes,Equisetaceae,Equisetum × nelsonii,EQUNEL,,native,
,Pteridophytes,Lycopodiaceae,Huperzia miyoshiana,HUPMIY,"see Huperzia miyoshiana (Makino) Ching new to Oregon, U.S.A. (Christy 2015).; see Christy #9957,  21 May 2007, 9 km s. of Cannon Beach.",native,
,Pteridophytes,Pteridaceae,Myriopteris covillei,MYRCOV,Myriopteris has been resurrected to assume a subset of former Cheilanthes.,native,
