Version,Family,Scientific name,Previously,As of the stated version,Date
2.0,Orobanchaceae,Orobanche corymbosa ssp. corymbosa,Accepted (terminal),Synonym of Aphyllon corymbosum ssp. corymbosum,10/12/2020
2.0,Orobanchaceae,Orobanche fasciculata,Accepted (terminal),Synonym of Aphyllon fasciculatum,10/12/2020
2.0,Orobanchaceae,Orobanche ludoviciana,Accepted (not terminal),Synonym of Aphyllon ludovicianum,10/12/2020
2.0,Orobanchaceae,Orobanche ludoviciana ssp. ludoviciana,Accepted (terminal),Synonym of Aphyllon ludovicianum,10/12/2020
2.0,Orobanchaceae,Orobanche parishii,Accepted (terminal),Synonym of Aphyllon parishii,10/12/2020
2.0,Orobanchaceae,Orobanche pinorum,Accepted (terminal),Synonym of Aphyllon pinorum,10/12/2020
2.0,Orobanchaceae,Orobanche uniflora,Accepted (not terminal),Synonym of Aphyllon uniflorum,10/12/2020
2.0,Orobanchaceae,Orobanche uniflora var. occidentalis,Accepted (terminal),Synonym of Aphyllon uniflorum,10/12/2020
2.0,Orobanchaceae,Orobanche uniflora var. purpurea,Accepted (terminal),Synonym of Aphyllon purpureum,10/12/2020
2.0,Orobanchaceae,Rhinanthus crista-galli,Accepted (terminal),Synonym of Rhinanthus minor,10/12/2020
2.0,Orobanchaceae,Rhinanthus minor,Synonym of Rhinanthus crista-galli,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Antirrhinum kingii,Accepted (terminal),Synonym of Sairocarpus kingii,10/12/2020
2.0,Plantaginaceae,Antirrhinum orontium,Accepted (terminal),Synonym of Misopates orontium,10/12/2020
2.0,Plantaginaceae,Antirrhinum vexillo-calyculatum,Accepted (not terminal),Synonym of Sairocarpus breweri,10/12/2020
2.0,Plantaginaceae,Antirrhinum vexillo-calyculatum ssp. breweri,Accepted (terminal),Synonym of Sairocarpus breweri,10/12/2020
2.0,Plantaginaceae,Callitriche palustris,Synonym of Callitriche verna,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Callitriche verna,Accepted (terminal),Synonym of Callitriche palustris,10/12/2020
2.0,Plantaginaceae,Collinsia greenei,Excluded,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Collinsia sparsiflora var. bruceae,Accepted (terminal),Excluded,10/12/2020
2.0,Plantaginaceae,Collinsia sparsiflora var. sparsiflora,Excluded,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Collinsia tinctoria,Under evaluation,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Misopates orontium,Synonym of Antirrhinum orontium,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Nuttallanthus canadensis,Excluded,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Sairocarpus breweri,Synonym of Antirrhinum vexillo-calyculatum ssp. breweri,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Sairocarpus kingii,Synonym of Antirrhinum kingii,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Synthyris cordata,Accepted (terminal),Synonym of Veronica californica,10/12/2020
2.0,Plantaginaceae,Synthyris missurica,Accepted (not terminal),Synonym of Veronica missurica,10/12/2020
2.0,Plantaginaceae,Synthyris missurica ssp. missurica,Accepted (terminal),Synonym of Veronica missurica ssp. missurica,10/12/2020
2.0,Plantaginaceae,Synthyris missurica ssp. stellata,Accepted (terminal),Synonym of Veronica missurica ssp. stellata,10/12/2020
2.0,Plantaginaceae,Synthyris reniformis,Accepted (terminal),Synonym of Veronica regina-nivalis,10/12/2020
2.0,Plantaginaceae,Synthyris rubra,Accepted (terminal),Synonym of Veronica rubra,10/12/2020
2.0,Plantaginaceae,Synthyris schizantha,Accepted (terminal),Synonym of Veronica schizantha,10/12/2020
2.0,Plantaginaceae,Veronica argute-serrata,Under evaluation,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Veronica biloba,Accepted (terminal),Synonym of Veronica argute-serrata,10/12/2020
2.0,Plantaginaceae,Veronica californica,Under evaluation,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Veronica hederaefolia,Accepted (terminal),Synonym of Veronica hederifolia,10/12/2020
2.0,Plantaginaceae,Veronica hederifolia,Synonym of Veronica hederaefolia,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Veronica missurica,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Plantaginaceae,Veronica missurica ssp. missurica,Under evaluation,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Veronica missurica ssp. stellata,Under evaluation,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Veronica regina-nivalis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Veronica rubra,Under evaluation,Accepted (terminal),10/12/2020
2.0,Plantaginaceae,Veronica schizantha,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Bromus carinatus,Accepted (not terminal),Synonym of Bromus sitchensis var. carinatus,10/12/2020
2.0,Poaceae,Bromus carinatus var. carinatus,Accepted (terminal),Synonym of Bromus sitchensis var. carinatus,10/12/2020
2.0,Poaceae,Bromus carinatus var. marginatus,Accepted (terminal),Synonym of Bromus sitchensis var. marginatus,10/12/2020
2.0,Poaceae,Bromus maritimus,Accepted (terminal),Synonym of Bromus sitchensis var. maritimus,10/12/2020
2.0,Poaceae,Bromus sitchensis var. carinatus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Bromus sitchensis var. marginatus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Bromus sitchensis var. maritimus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Bromus sitchensis var. sitchensis,Synonym of Bromus sitchensis,Accepted (terminal),10/12/2020
2.0,Poaceae,Calamagrostis tweedyi,Accepted (terminal),Synonym of Greeneochloa tweedyi,10/12/2020
2.0,Poaceae,Calamagrostis utsutsuensis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Festuca lemanii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Greeneochloa tweedyi,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Leymus × multiflorus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Leymus racemosus,Excluded,Accepted (terminal),10/12/2020
2.0,Poaceae,Poa iconia,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Poaceae,Poa iconia var. iconia,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Poa laxa,Accepted (terminal),Excluded,10/12/2020
2.0,Poaceae,Poa mansfieldii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Poa wallowensis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Puccinellia simplex,Under evaluation,Accepted (terminal),10/12/2020
2.0,Poaceae,Spartina densiflora,Excluded,Accepted (terminal),10/12/2020
2.0,Polemoniaceae,Aliciella triodon,Accepted (terminal),Excluded,10/12/2020
2.0,Polemoniaceae,Ipomopsis congesta ssp. montana,Synonym of Ipomopsis congesta ssp. palmifrons,Accepted (terminal),10/12/2020
2.0,Polemoniaceae,Ipomopsis congesta ssp. palmifrons,Accepted (terminal),Synonym of Ipomopsis congesta ssp. montana,10/12/2020
2.0,Polemoniaceae,Navarretia divaricata,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Polemoniaceae,Navarretia divaricata ssp. divaricata,Accepted (terminal),Synonym of Navarretia divaricata,10/12/2020
2.0,Polemoniaceae,Navarretia divaricata ssp. vividior,Accepted (terminal),Synonym of Navarretia modocensis,10/12/2020
2.0,Polemoniaceae,Navarretia modocensis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Polemoniaceae,Phlox longifolia,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Polemoniaceae,Phlox longifolia ssp. longifolia,Accepted (terminal),Synonym of Phlox longifolia,10/12/2020
2.0,Polemoniaceae,Polemonium elegans,Accepted (terminal),Excluded,10/12/2020
2.0,Polygonaceae,Eriogonum pyrolifolium,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Polygonaceae,Eriogonum pyrolifolium var. coryphaeum,Synonym of Eriogonum pyrolifolium,Accepted (terminal),10/12/2020
2.0,Polygonaceae,Eriogonum pyrolifolium var. pyrolifolium,Synonym of Eriogonum pyrolifolium,Accepted (terminal),10/12/2020
2.0,Polygonaceae,Rumex salicifolius,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Polygonaceae,Rumex salicifolius var. lacustris,Accepted (terminal),Synonym of Rumex salicifolius,10/12/2020
2.0,Polygonaceae,Rumex salicifolius var. mexicanus,Accepted (terminal),Synonym of Rumex salicifolius,10/12/2020
2.0,Polygonaceae,Rumex salicifolius var. salicifolius,Accepted (terminal),Synonym of Rumex salicifolius,10/12/2020
2.0,Polygonaceae,Rumex salicifolius var. transitorius,Accepted (terminal),Synonym of Rumex salicifolius,10/12/2020
2.0,Primulaceae,Dodecatheon conjugens,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Primulaceae,Dodecatheon conjugens var. conjugens,Synonym of Dodecatheon conjugens,Accepted (terminal),10/12/2020
2.0,Primulaceae,Dodecatheon dentatum,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Primulaceae,Dodecatheon dentatum ssp. dentatum,Accepted (terminal),Synonym of Dodecatheon dentatum,10/12/2020
2.0,Primulaceae,Dodecatheon pulchellum ssp. macrocarpum,Accepted (terminal),Synonym of Dodecatheon pulchellum var. macrocarpum,10/12/2020
2.0,Primulaceae,Dodecatheon pulchellum ssp. monanthum,Accepted (terminal),Synonym of Dodecatheon pulchellum.var. monanthum.,10/12/2020
2.0,Primulaceae,Dodecatheon pulchellum ssp. pulchellum,Accepted (terminal),Synonym of Dodecatheon pulchellum var. pulchellum,10/12/2020
2.0,Primulaceae,Dodecatheon pulchellum var. macrocarpum,Synonym of Dodecatheon pulchellum ssp. macrocarpum,Accepted (terminal),10/12/2020
2.0,Primulaceae,Dodecatheon pulchellum var. monanthum,Synonym of Dodecatheon pulchellum ssp. monanthum,Accepted (terminal),10/12/2020
2.0,Primulaceae,Dodecatheon pulchellum var. pulchellum,Synonym of Dodecatheon pulchellum ssp. pulchellum,Accepted (terminal),10/12/2020
2.0,Pteridaceae,Adiantum aleuticum,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Pteridaceae,Adiantum aleuticum var. aleuticum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Pteridaceae,Adiantum shastense,Accepted (terminal),Excluded,10/12/2020
2.0,Pteridaceae,Cheilanthes covillei,Accepted (terminal),Synonym of Myriopteris covillei,10/12/2020
2.0,Pteridaceae,Cheilanthes feei,Accepted (terminal),Synonym of Myriopteris gracilis,10/12/2020
2.0,Pteridaceae,Cheilanthes gracillima,Accepted (terminal),Synonym of Myriopteris gracillima,10/12/2020
2.0,Pteridaceae,Cheilanthes intertexta,Accepted (terminal),Synonym of Myriopteris intertexta,10/12/2020
2.0,Pteridaceae,Myriopteris covillei,Under evaluation,Accepted (terminal),10/12/2020
2.0,Pteridaceae,Myriopteris gracilis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Pteridaceae,Myriopteris gracillima,Under evaluation,Accepted (terminal),10/12/2020
2.0,Pteridaceae,Myriopteris intertexta,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Caltha biflora,Synonym of Caltha leptosepala,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Caltha chionophila,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Caltha leptosepala,Accepted (terminal),Ambiguous,10/12/2020
2.0,Ranunculaceae,Cimicifuga elata,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Ranunculaceae,Cimicifuga elata var. alpestris,Synonym of Cimicifuga elata,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Cimicifuga elata var. elata,Synonym of Cimicifuga elata,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Clematis lasiantha,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Consolida ajacis,Synonym of Delphinium ajacis,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Delphinium ajacis,Accepted (terminal),Synonym of Consolida ajacis,10/12/2020
2.0,Ranunculaceae,Delphinium andersonii,Accepted (terminal),Synonym of Delphinium scaposum var. andersonii,10/12/2020
2.0,Ranunculaceae,Delphinium glareosum × Delphinium menziesii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Delphinium menziesii × Delphinium pavonaceum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Delphinium scaposum,Synonym of Delphinium andersonii,Accepted (not terminal),10/12/2020
2.0,Ranunculaceae,Delphinium scaposum var. andersonii,Synonym of Delphinium andersonii,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Ficaria verna,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Ranunculus bonariensis,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Ranunculaceae,Ranunculus bonariensis var. trisepalus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ranunculaceae,Ranunculus ficaria,Accepted (terminal),Synonym of Ficaria verna,10/12/2020
2.0,Rhamnaceae,Ceanothus arcuatus,Accepted (terminal),Synonym of Ceanothus cuneatus × Ceanothus prostratratus,10/12/2020
2.0,Rhamnaceae,Ceanothus cuneatus × Ceanothus prostratus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rhamnaceae,Ceanothus integerrimus,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Rhamnaceae,Ceanothus integerrimus var. macrothyrsus,Synonym of Ceanothus integerrimus,Accepted (terminal),10/12/2020
2.0,Rhamnaceae,Ceanothus thyrsiflorus,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Rhamnaceae,Ceanothus thyrsiflorus var. thyrsiflorus,Synonym of Ceanothus thyrsiflorus,Accepted (terminal),10/12/2020
2.0,Rosaceae,Drymocallis arguta,Excluded,Accepted (terminal),10/12/2020
2.0,Rosaceae,Geum macrophyllum,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Rosaceae,Geum macrophyllum var. macrophyllum,Accepted (terminal),Synonym of Geum macrophyllum,10/12/2020
2.0,Rosaceae,Geum macrophyllum var. perincisum,Accepted (terminal),Synonym of Geum macrophyllum,10/12/2020
2.0,Rosaceae,Geum rossii,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Rosaceae,Geum rossii var. turbinatum,Accepted (terminal),Synonym of Geum rossii,10/12/2020
2.0,Rosaceae,Ivesia rhypara,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Rosaceae,Ivesia rhypara var. rhypara,Accepted (terminal),Synonym of Ivesia rhypara,10/12/2020
2.0,Rosaceae,Ivesia rhypara var. shellyi,Accepted (terminal),Synonym of Ivesia rhypara,10/12/2020
2.0,Rosaceae,Malus domestica × Malus sieboldii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Malus hupehensis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Malus prunifolia,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Potentilla hookeriana,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Potentilla versicolor,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Rosaceae,Potentilla versicolor var. darrachii,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Potentilla versicolor var. versicolor,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Prunus armeniaca,Excluded,Accepted (terminal),10/12/2020
2.0,Rosaceae,Prunus dulcis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Prunus serotina,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Rosaceae,Prunus serotina var. serotina,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Pyrus pashia,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Rubus nutkanus,Under evaluation,Accepted (terminal),10/12/2020
2.0,Rosaceae,Rubus parviflorus,Accepted (terminal),Synonym of Rubus nutkanus,10/12/2020
2.0,Rosaceae,Spiraea betulifolia,Accepted (not terminal),Synonym of Spiraea lucida,10/12/2020
2.0,Rosaceae,Spiraea betulifolia var. lucida,Accepted (terminal),Synonym of Spiraea lucida,10/12/2020
2.0,Rosaceae,Spiraea lucida,Synonym of Spiraea betulifolia var. lucida,Accepted (terminal),10/12/2020
2.0,Salicaceae,Populus nigra,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Salicaceae,Populus nigra var. italica,Accepted (terminal),Synonym of Populus nigra,10/12/2020
2.0,Salicaceae,Salix × pendulina,Accepted (terminal),Synonym of Salix × sepulcralis,10/12/2020
2.0,Salicaceae,Salix × sepulcralis,Misapplied to Salix × pendulina,Accepted (terminal),10/12/2020
2.0,Salicaceae,Salix boothii × Salix commutata,Under evaluation,Accepted (terminal),10/12/2020
2.0,Salicaceae,Salix exigua var. sessilifolia,Accepted (terminal),Synonym of Salix sessilifolia,10/12/2020
2.0,Salicaceae,Salix purpurea,Excluded,Accepted (terminal),10/12/2020
2.0,Salicaceae,Salix sessilifolia,Synonym of Salix exigua var. sessilifolia,Accepted (terminal),10/12/2020
2.0,Sapindaceae,Acer glabrum var. diffusum,Accepted (terminal),Excluded,10/12/2020
2.0,Saxifragaceae,Elmera racemosa,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Elmera racemosa var. racemosa,Accepted (terminal),Synonym of Elmera racemosa,10/12/2020
2.0,Saxifragaceae,Heuchera cylindrica,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Heuchera cylindrica var. alpina,Accepted (terminal),Synonym of Heuchera cylindrica,10/12/2020
2.0,Saxifragaceae,Heuchera cylindrica var. cylindrica,Accepted (terminal),Synonym of Heuchera cylindrica,10/12/2020
2.0,Saxifragaceae,Heuchera cylindrica var. glabella,Accepted (terminal),Synonym of Heuchera cylindrica,10/12/2020
2.0,Saxifragaceae,Heuchera micrantha,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Heuchera micrantha var. diversifolia,Accepted (terminal),Synonym of Heuchera micrantha,10/12/2020
2.0,Saxifragaceae,Heuchera micrantha var. erubescens,Accepted (terminal),Synonym of Heuchera micrantha,10/12/2020
2.0,Saxifragaceae,Heuchera micrantha var. macropetala,Accepted (terminal),Synonym of Heuchera micrantha,10/12/2020
2.0,Saxifragaceae,Heuchera micrantha var. micrantha,Accepted (terminal),Synonym of Heuchera micrantha,10/12/2020
2.0,Saxifragaceae,Heuchera rubescens,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Saxifragaceae,Heuchera rubescens var. rubescens,Accepted (terminal),Synonym of Heuchera rubescens,10/12/2020
2.0,Saxifragaceae,Heuchera rubescens var. rydbergiana,Accepted (terminal),Synonym of Heuchera rubescens,10/12/2020
2.0,Saxifragaceae,Micranthes hitchcockiana,Accepted (terminal),Synonym of Micranthes oregana,10/12/2020
2.0,Saxifragaceae,Micranthes idahoensis,Accepted (terminal),Synonym of Micranthes occidentalis,10/12/2020
2.0,Saxifragaceae,Micranthes nelsoniana var. cascadensis,Accepted (terminal),Synonym of Micranthes odontoloma,10/12/2020
2.0,Saxifragaceae,Mitella breweri,Accepted (terminal),Synonym of Pectiantia breweri,10/12/2020
2.0,Saxifragaceae,Mitella caulescens,Accepted (terminal),Synonym of Mitellastra caulescens,10/12/2020
2.0,Saxifragaceae,Mitella diversifolia,Accepted (terminal),Synonym of Ozomelis diversifolia,10/12/2020
2.0,Saxifragaceae,Mitella ovalis,Accepted (terminal),Synonym of Pectiantia ovalis,10/12/2020
2.0,Saxifragaceae,Mitella pentandra,Accepted (terminal),Synonym of Pectiantia pentandra,10/12/2020
2.0,Saxifragaceae,Mitella stauropetala,Accepted (terminal),Synonym of Ozomelis stauropetala,10/12/2020
2.0,Saxifragaceae,Mitella trifida,Accepted (terminal),Synonym of Ozomelis trifida,10/12/2020
2.0,Saxifragaceae,Mitellastra caulescens,Synonym of Mitella caulescens,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Ozomelis diversifolia,Synonym of Mitella diversifolia,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Ozomelis stauropetala,Synonym of Mitella stauropetala,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Ozomelis trifida,Synonym of Mitella trifida,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Pectiantia breweri,Synonym of Mitella breweri,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Pectiantia ovalis,Synonym of Mitella ovalis,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Pectiantia pentandra,Synonym of Mitella pentandra,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Saxifraga adscendens,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Saxifraga adscendens var. oregonensis,Accepted (terminal),Synonym of Saxifraga adscendens,10/12/2020
2.0,Saxifragaceae,Saxifraga austromontana,Under evaluation,Accepted (terminal),10/12/2020
2.0,Saxifragaceae,Saxifraga bronchialis,Accepted (not terminal),Synonym of Saxifraga vespertina,10/12/2020
2.0,Saxifragaceae,Saxifraga bronchialis var. austromontana,Accepted (terminal),Synonym of Saxifraga austromontana,10/12/2020
2.0,Saxifragaceae,Saxifraga bronchialis var. vespertina,Accepted (terminal),Synonym of Saxifraga vespertina,10/12/2020
2.0,Saxifragaceae,Saxifraga vespertina,Synonym of Saxifraga bronchialis var. vespertina,Accepted (terminal),10/12/2020
2.0,Scrophulariaceae,Limosella acaulis,Accepted (terminal),Synonym of Limosella aquatica,10/12/2020
2.0,Solanaceae,Physalis longifolia,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Solanaceae,Physalis longifolia var. longifolia,Accepted (terminal),Synonym of Physalis longifolia,10/12/2020
2.0,Solanaceae,Solanum physalifolium,Synonym of Solanum nitidibaccatum,Accepted (terminal),10/12/2020
2.0,Styracaceae,Styrax officinalis,Synonym of Styrax redivivus,Accepted (not terminal),10/12/2020
2.0,Styracaceae,Styrax officinalis var. redivivus,Synonym of Styrax redivivus,Accepted (terminal),10/12/2020
2.0,Styracaceae,Styrax redivivus,Accepted (terminal),Synonym of Styrax officinalis var. redivivus,10/12/2020
2.0,Tropaeolaceae,Tropaeolum majus,Excluded,Accepted (terminal),10/12/2020
2.0,Ulmaceae,Ulmus minor,Under evaluation,Accepted (terminal),10/12/2020
2.0,Ulmaceae,Ulmus procera,Accepted (terminal),Synonym of Ulmus minor,10/12/2020
2.0,Valerianaceae,Valeriana hookeri,Accepted (terminal),Synonym of Valeriana sitchensis var. scouleri,10/12/2020
2.0,Valerianaceae,Valeriana sitchensis,Accepted (terminal),Accepted (not terminal),10/12/2020
2.0,Valerianaceae,Valeriana sitchensis var. scouleri,Under evaluation,Accepted (terminal),10/12/2020
2.0,Valerianaceae,Valeriana sitchensis var. sitchensis,Under evaluation,Accepted (terminal),10/12/2020
2.0,Valerianaceae,Valerianella dentata,Under evaluation,Accepted (terminal),10/12/2020
2.0,Viscaceae,Arceuthobium abietinum f. sp. concoloris,Accepted (terminal),Synonym of Arceuthobium abietinum ssp. abietinum,10/12/2020
2.0,Viscaceae,Arceuthobium abietinum ssp. abietinum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Viscaceae,Phoradendron serotinum,Accepted (not terminal),Synonym of Phoradendron villosum,10/12/2020
2.0,Viscaceae,Phoradendron serotinum ssp. tomentosum,Accepted (terminal),Synonym of Phoradendron villosum,10/12/2020
2.0,Viscaceae,Phoradendron villosum,Misapplied to Phoradendron serotinum ssp. tomentosum,Accepted (terminal),10/12/2020
1.7,Adoxaceae,Sambucus mexicana,Synonym of Sambucus nigra ssp. caerulea,Accepted (not terminal),5/9/2017
1.7,Adoxaceae,Sambucus mexicana ssp. cerulea,Under evaluation,Accepted,5/9/2017
1.7,Adoxaceae,Sambucus nigra,Accepted (not terminal),Synonym of Sambucus mexicana,5/9/2017
1.7,Adoxaceae,Sambucus nigra ssp. caerulea,Accepted,Synonym of Sambucus mexicana ssp. cerulea,5/9/2017
1.7,Amaranthaceae,Atriplex patula,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Amaranthaceae,Atriplex patula var. patula,Accepted,Synonym of Atriplex patula,5/9/2017
1.7,Amaranthaceae,Chenopodium hians,Accepted (terminal),Excluded,5/9/2017
1.7,Amaranthaceae,Chenopodium incanum,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Amaranthaceae,Chenopodium rubrum,Accepted (terminal),Accepted (not terminal),5/9/2017
1.7,Amaranthaceae,Chenopodium rubrum var. humile,Synonym of Chenopodium rubrum,Accepted,5/9/2017
1.7,Amaranthaceae,Chenopodium rubrum var. rubrum,Synonym of Chenopodium rubrum,Accepted,5/9/2017
1.7,Apiaceae,Centella erecta,Under evaluation,Accepted (terminal),5/9/2017
1.7,Apiaceae,Cnidium monnieri,Under evaluation,Accepted (terminal),5/9/2017
1.7,Apiaceae,Cyclospermum leptophyllum,Under evaluation,Accepted (terminal),5/9/2017
1.7,Apiaceae,Glehnia leiocarpa,Synonym of Glehnia littoralis ssp. leiocarpa,Accepted (terminal),5/9/2017
1.7,Apiaceae,Glehnia littoralis ssp. leiocarpa,Accepted,Synonym of Glehnia leiocarpa,5/9/2017
1.7,Apiaceae,Perideridia gairdneri,Synonym of Perideridia montana,Accepted (terminal),5/9/2017
1.7,Apiaceae,Perideridia lemmonii,Accepted (terminal),Synonym of Perideridia gairdneri,5/9/2017
1.7,Apiaceae,Perideridia montana,Accepted (terminal),Synonym of Perideridia gairdneri,5/9/2017
1.7,Apiaceae,Zizia aptera,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Apiaceae,Zizia aptera var. occidentalis,Accepted,Synonym of Zizia aptera,5/9/2017
1.7,Apocynaceae,Apocynum androsaemifolium,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Apocynaceae,Apocynum androsaemifolium var. androsaemifolium,Accepted,Synonym of Apocynum androsaemifolium,5/9/2017
1.7,Apocynaceae,Apocynum androsaemifolium var. pumilum,Accepted,Synonym of Apocynum androsaemifolium,5/9/2017
1.7,Apocynaceae,Apocynum cannabinum,Accepted (not terminal),Accepted (terminal),5/9/2017
1.7,Apocynaceae,Apocynum cannabinum var. glaberrimum,Accepted,Synonym of Apocynum cannabinum,5/9/2017
1.7,Apocynaceae,Apocynum sibiricum,Accepted (not terminal),Synonym of Apocynum cannabinum,5/9/2017
1.7,Apocynaceae,Apocynum sibiricum var. salignum,Accepted,Synonym of Apocynum cannabinum,5/9/2017
1.7,Apocynaceae,Asclepias cryptoceras ssp. davisii,Synonym of Asclepias cryptoceras var. davisii,Accepted,5/9/2017
1.7,Apocynaceae,Asclepias cryptoceras var. davisii,Accepted,Synonym of Asclepias cryptoceras ssp. davisii,5/9/2017
1.7,Apocynaceae,Cycladenia humilis,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Asparagaceae,Dichelostemma capitatum,Accepted (not terminal),Synonym of Dipterostemon capitatus,5/9/2017
1.7,Asparagaceae,Dichelostemma capitatum ssp. capitatum,Accepted,Synonym of Dipterostemon capitatus ssp. capitatus,5/9/2017
1.7,Asparagaceae,Dipterostemon capitatus,Under evaluation,Accepted (not terminal),5/9/2017
1.7,Asparagaceae,Dipterostemon capitatus ssp. capitatus,Under evaluation,Accepted,5/9/2017
1.7,Asteraceae,Antennaria aromatica,Accepted (terminal),Synonym of Antennaria pulvinata,5/9/2017
1.7,Asteraceae,Antennaria pulvinata,Under evaluation,Accepted (terminal),5/9/2017
1.7,Asteraceae,Antennaria rosea,Accepted (terminal),Synonym of Antennaria pulvinata,5/9/2017
